id,workshop_name,attendance_type,date,instructor,workshop_days,time,price_before,price_after,number_of_lectures,notes,active,created_at,updated_at
24,Odoo Accounting - ورشة اودو,Online,8-6-2026,أ/ اسلام سعيد,الاثنين والخميس,من 6:00م  الي 9:00م,6000,3000,8,"تفاعلي علي Zoom
",true,2026-05-09 07:50:49.224345+00,2026-05-09 07:54:45.146402+00
1,Odoo Accounting - ورشة اودو,Offline,12-5-2026,أ/ اسلام سعيد,السبت والثلاثاء,من 6:00م  الي 9:00م,6000,3000,8,يشترط تواجد اللاب الخاص بالمتدرب,true,2026-03-25 22:25:38.76786+00,2026-05-09 07:54:46.794435+00
5,المحاسب الشامل,Offline,4-7-2026,أ/ محمد ريان,السبت والاثنين والاربعاء,من 6:00م  الي 10:00م,7500,5800,8,هتكون في المقر بالقاهرة,true,2026-03-25 22:25:38.76786+00,2026-03-30 17:16:24.485159+00
6,المحاسب الشامل,Online,مسجلة تقدر تاخدها في اي وقت وأي مكان ومعاك مدي الحياة,أ/ محمد ريان,,مسجلة تقدر تاخدها في اي وقت وأي مكان ومعاك مدي الحياة,3100,2500,5,"نسخة مختصرة من الورشة الفعلية (مسجلة - udemy ) 
بسعر مخفض تقدر تاخدها في اي وقت وأي مكان ومعاك مدي الحياة - عدد الساعات للكورس (6 ساعات ونص)
سعرها علي موقع يوديمي 3100ج
ولكن لو حجز من خلال فريقنا بنعمل خصم خاص وبيكون تمنها 2500ج (خصم 600ج)",true,2026-03-25 22:25:38.76786+00,2026-03-30 17:16:24.485159+00
4,المحاسب الشامل,Offline,6-6-2026,أ/ محمد ريان,السبت والاثنين والأربعاء,من 6:00م الى 10:00م,7500,5800,8,"مكان حضور استثنائي في الإسكندرية (ليس فرعاً) — ورشة المحاسب الشامل لمرة واحدة فقط مع أ/ محمد ريان.

❌ ممنوع وصفه بأنه ""فرع"". ✅ استخدم ""مكان الحضور"" أو ""قاعة الورشة"" أو ""المعاد الاستثنائي في الإسكندرية"".

📍 العنوان الرسمي الوحيد: نقابة المهندسين بالإسكندرية، 36 شارع بورسعيد، الشاطبي، محافظة الإسكندرية.
🗺️ https://maps.app.goo.gl/JKzoY21fGjVkqNfv8

📅 البداية: 6 يونيو 2026
⏱️ 8 محاضرات × 4 ساعات (إجمالي 32 ساعة)
🗓️ السبت والاثنين والأربعاء — من 6م إلى 10م

💰 عرض الحجز المبكر: 5800ج بدلاً من 7500ج (حتى 30 أبريل 2026)

⚠️ ممنوع ذكر أي منطقة غير ""الشاطبي"": ليس سموحة، ليس الكورنيش، ليس نادي الأطباء. استخدم العنوان أعلاه بالنص الحرفي فقط.",true,2026-03-25 22:25:38.76786+00,2026-04-21 15:57:57.639429+00
19,المحاسب المالي,Offline,12-6-2026,أ/ محمد علاء,الجمعه,من 2:00م الى 5:00م,4600,3250,8,,true,2026-04-12 12:55:17.788799+00,2026-04-12 12:55:17.788799+00
13,المحاسب المالي,Online,19-6-2026,أ/ محمد علاء,الجمعه,من 5:00م الى 8:00م,4600,3250,8,,true,2026-03-25 22:25:38.76786+00,2026-04-21 14:51:41.09259+00
18,المحاسب المالي,Offline,17-5-2026,أ/ محمد علاء,الأحد والأربعاء,من 6:00م الى 9:00م,4600,3250,8,,true,2026-04-12 12:55:17.788799+00,2026-04-21 14:51:41.09259+00
16,المدير المالي,Online,4-6-2026,أ/ احمد عاشور,الاثنين والخميس,من 6:30م الى 9:30م,12000,6000,10,تفاعلي علي Zoom,true,2026-04-05 14:10:58.62445+00,2026-04-21 14:51:41.09259+00
15,تحليل مالي,Offline,13-5-2026,أ/ احمد عاشور,الاحد والاربعاء,من 6.30م الى 9.30م,6500,5000,7,,true,2026-03-25 22:25:38.76786+00,2026-03-30 17:16:24.485159+00
8,خبير الضرائب,Online,10-5-2026,أ/احمد علي,الاحد والاربعاء,من 6:00م  الي 9:00م,7500,5250,12,,true,2026-03-25 22:25:38.76786+00,2026-03-30 17:16:24.485159+00
7,خبير الضرائب,Offline,4-6-2026,أ/احمد علي,الاثنين والخميس,من 6:00م الى 9:00م,7500,5250,12,,true,2026-03-25 22:25:38.76786+00,2026-04-21 14:51:41.09259+00
17,هندسة التكاليف,Online,16-5-2026,أ/ احمد عاشور,السبت والثلاثاء,من 6:30م الى 9:30م,6000,3500,5,تفاعلي علي Zoom,true,2026-04-05 14:11:00.668376+00,2026-04-05 14:11:00.668376+00
21,هندسة التكاليف,Offline,7-6-2026,أ/ احمد عاشور,الأحد والأربعاء,من 6:30م الى 9:30م,6000,3500,8,,true,2026-04-12 12:55:17.788799+00,2026-04-12 12:55:17.788799+00
23,ورشة إعداد القوائم المالية,Offline,11-5-2026,أ/ محمد علاء,الأحد والأربعاء,من 6:00م الى 9:00م,4000,2500,5,,true,2026-04-12 13:45:08.691034+00,2026-05-06 15:05:42.514907+00
22,ورشة الأكسيل,Offline,11-5-2026,أ/ مصطفى القصاص,الاثنين والخميس,من 6:00م الى 9:00م,4000,2000,4,يشترط تواجد اللاب الخاص بالمتدرب,true,2026-04-12 13:45:08.691034+00,2026-05-06 15:05:51.280292+00
